,Media Outlet,Positive Score,Tweet Text,Compound Score,Negative Score,Neutral Score,Date
66,@BBC,0.28,"RT @BBCSportWales: We could watch this all day! 

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Ca…",0.7901,0.0,0.72,Tue Mar 06 10:18:16 +0000 2018
67,@BBC,0.128,🐒❤️ This baby chimp is being flown to a new home in DR Congo after it was rescued from poachers. https://t.co/rUZzDVLBt8,0.4215,0.0,0.872,Tue Mar 06 09:00:05 +0000 2018
68,@BBC,0.057,💍🙅 Crippling costs and parents' split-ups could be to blame for the declining number of marriages between men and w… https://t.co/avVWNgx3jH,-0.2732,0.106,0.837,Tue Mar 06 08:30:10 +0000 2018
69,@BBC,0.228,"We've all heard thunder before, but what does lightning sound like? ⚡️🤔https://t.co/3BGKK7iukQ",0.5023,0.0,0.772,Tue Mar 06 08:03:02 +0000 2018
70,@BBC,0.0,😂 Who actually watched the #Oscars? https://t.co/opThFzy37n,0.0,0.0,1.0,Mon Mar 05 19:30:07 +0000 2018
71,@BBC,0.0,"No meat. No fish. No eggs. No milk. No cheese. How hard is it to go vegan for a month? 

🥦🥑🍏 Nesta McGregor investi… https://t.co/1UBRGqIOp6",-0.8555,0.408,0.592,Mon Mar 05 18:38:04 +0000 2018
72,@BBC,0.263,"Like father, like daughter.

😂🔥 @GordonRamsay's daughter has already mastered the art of the roast. https://t.co/0dqwntX5uj",0.6124,0.0,0.737,Mon Mar 05 17:23:22 +0000 2018
73,@BBC,0.211,RT @BBCFOUR: The little mouse that inspired Pikachu is actually... a rabbit. https://t.co/mHCFFXczka,0.4472,0.0,0.789,Mon Mar 05 17:15:34 +0000 2018
74,@BBC,0.105,"""I made a promise to our six-year-old lead actress that I would sign this speech. My hands are shaking a little bit… https://t.co/HgFpUtHDTB",0.1531,0.077,0.818,Mon Mar 05 17:00:31 +0000 2018
75,@BBC,0.0,"RT @BBCRadio4: As it's Hexagonal Phase approaches, a brief history of the Hitchhiker's Guide: https://t.co/Ehp9AfMyn8 #h2g2 https://t.co/9F…",0.0,0.0,1.0,Mon Mar 05 14:48:43 +0000 2018
76,@BBC,0.0,RT @BBCFOUR: How did Julius Caesar hide his bald patch? https://t.co/SME5Dfwifj,-0.1779,0.145,0.855,Mon Mar 05 14:43:13 +0000 2018
77,@BBC,0.0,"RT @BBC_Teach: Thursday is #InternationalWomensDay

Reflecting on The Representation of the People Act with your class? @gemcairn traces th…",0.0,0.0,1.0,Mon Mar 05 14:42:36 +0000 2018
78,@BBC,0.0,"RT @bbc5live: When you almost (accidentally) kill @Harry_Styles on the set of Dunkirk… 😳

 #Oscars https://t.co/G127l5yPkY",-0.6621,0.24,0.76,Mon Mar 05 14:11:28 +0000 2018
79,@BBC,0.0,"RT @cbbc: Which football clubs charge the most for their pies? Take the imPIErative quiz here ⚽️🍴 👉 https://t.co/xlSch4HVvl

#BritishPieWee…",0.0,0.0,1.0,Mon Mar 05 14:07:00 +0000 2018
80,@BBC,0.0,"🐶💛 Little Ivor the Staffordshire puppy is deaf, but since learning sign language his life has changed for the bette… https://t.co/vL83oBTAIL",0.0,0.0,1.0,Mon Mar 05 13:17:03 +0000 2018
81,@BBC,0.0,RT @BBCFood: #MeatFreeMonday + #BritishPieWeek = Lancashire cheese and onion pie 🙌 🥧🧀 https://t.co/07cH2MESmI https://t.co/G79WTJJnKr,0.0,0.0,1.0,Mon Mar 05 13:07:19 +0000 2018
82,@BBC,0.189,"What is the best way to cope with adult acne? @BBCWomansHour asked dermatologist @DrAnjaliMahto to find out... 
📻👉… https://t.co/DxHxgWTslT",0.6369,0.0,0.811,Mon Mar 05 12:34:04 +0000 2018
83,@BBC,0.0,"RT @bbcgetinspired: It was a feat some doctors said was impossible. Then Roger Bannister came along.

The first man to run a four-minute mi…",0.0,0.0,1.0,Mon Mar 05 12:33:12 +0000 2018
84,@BBC,0.157,"🐋🏊 What an experience!  
This is what it's like to go swimming with whales... 
#AmazingHotels https://t.co/ji90J6Olsj",0.4199,0.0,0.843,Mon Mar 05 11:54:02 +0000 2018
85,@BBC,0.33,"❤️ Just adorable. 
How would you react if your daughter won an Oscar? 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX",0.7845,0.0,0.67,Mon Mar 05 11:37:55 +0000 2018
86,@BBC,0.251,"This year's #Oscars have been handed out at the 90th annual Academy Awards in Hollywood. Find out who won, and who… https://t.co/ZxfsMpDVwd",0.7717,0.0,0.749,Mon Mar 05 11:00:11 +0000 2018
87,@BBC,0.345,"RT @BBCCornwall: It's #StPiransDay - so cheers to everyone! #GoolPeranLowen 🌮

Bit of fun .. complete this sentence ""You know you're #Corni…",0.8384,0.0,0.655,Mon Mar 05 10:42:57 +0000 2018
88,@BBC,0.27,"RT @BBC6Music: 🥟 Gool Peran Lowen / Happy #StPiransDay to all of our 
‘ansom Cornish listeners. 

To celebrate Gwenno is in session for @la…",0.8126,0.0,0.73,Mon Mar 05 10:42:50 +0000 2018
89,@BBC,0.0,"RT @BBCRD: Available now! 📲 Download the #Civilisations Augmented Reality app @BBCTaster to explore classic art, objects, and artefacts fro…",0.0,0.0,1.0,Mon Mar 05 10:09:20 +0000 2018
90,@BBC,0.227,RT @BBCRadio2: What'sthe first leg of @ZoeTheBall's epic Sport Relief challenge? 🚲 She updates @achrisevans on #HardestRoadHome @sportrelie…,0.5267,0.0,0.773,Mon Mar 05 09:58:23 +0000 2018
